# Distance (Ang)      Number Integral (atoms)     RDF (unitless)
0.2 0 0
0.4 0 0
0.6 0 0
0.8 0 0
1 0 0
1.2 0 0
1.4 0 0
1.6 0 0
1.8 0 0
2 0 0
2.2 0 0
2.4 0 0
2.6 0 0
2.8 0 0
3 0 0
3.2 0.006 0.0325353
3.4 0.124 0.564675
3.6 0.51 1.64214
3.8 1.088 2.20037
4 1.718 2.1587
4.2 2.332 1.90367
4.4 2.914 1.64053
4.6 3.474 1.44135
4.8 4.016 1.27884
5 4.554 1.1679
5.2 5.1 1.09414
5.4 5.662 1.04282
5.6 6.248 1.00972
5.8 6.868 0.99466
6 7.53 0.991264
6.2 8.246 1.00298
6.4 9.032 1.03224
6.6 9.882 1.04866
6.8 10.814 1.08221
7 11.83 1.11235
7.2 12.928 1.13536
7.4 14.1 1.14639
7.6 15.338 1.14723
7.8 16.634 1.1394
8 17.976 1.12086
8.2 19.366 1.10433
8.4 20.806 1.08959
8.6 22.298 1.07644
8.8 23.844 1.0647
9 25.452 1.05819
9.2 27.122 1.05122
9.4 28.862 1.04868
9.6 30.676 1.04773
9.8 32.564 1.04597
10 34.536 1.04881
10.2 36.604 1.05675
10.4 38.744 1.05148
10.6 40.968 1.05153
10.8 43.278 1.05174
11 45.684 1.05562
11.2 48.162 1.04838
11.4 50.722 1.04508
11.6 53.368 1.04294
11.8 56.098 1.03958
12 58.914 1.03659
12.2 61.818 1.03393
12.4 64.81 1.03091
12.6 67.892 1.02821
12.8 71.076 1.02904
13 74.35 1.02558
13.2 77.72 1.02366
13.4 81.19 1.02257
13.6 84.778 1.02625
13.8 88.452 1.02039
14 92.228 1.01876
14.2 96.124 1.02153
14.4 100.116 1.01763
14.6 104.214 1.01603
14.8 108.418 1.01414
15 112.748 1.01668
15.2 117.174 1.01188
15.4 121.712 1.01054
15.6 126.37 1.01066
15.8 131.136 1.00792
16 136.022 1.00747
16.2 141.034 1.00793
16.4 146.156 1.00493
16.6 151.402 1.00446
16.8 156.788 1.00671
17 162.28 1.00237
17.2 167.898 1.00152
17.4 173.644 1.0008
17.6 179.514 0.999158
17.8 185.516 0.99867
18 191.656 0.998929
18.2 197.922 0.997025
18.4 204.324 0.99652
18.6 210.884 0.999156
18.8 217.56 0.99519
19 224.372 0.994086
19.2 231.344 0.996239
19.4 238.436 0.992493
19.6 245.686 0.993898
19.8 253.068 0.991551
20 260.596 0.990939
