# rho    Mu*_xs    Mu*_err
0.2     -1.325    0.007
0.3     -1.814    0.015
0.4     -2.191    0.010
0.5     -2.432    0.017
0.6     -2.447    0.016
0.7     -1.946    0.052
0.8     -0.687    0.136
0.9      1.697    0.224

